# celestial_stars.dat
#
# An excerpt of the Hipparcos Catalogue (main catalog, hip_main.dat)
# containing the named stars supported by weewx-celestial.
#
# Source: The Hipparcos and Tycho Catalogues, ESA SP-1200 (1997).
#         European Space Agency.  Distributed by the Centre de Donnees
#         astronomiques de Strasbourg (CDS) as VizieR catalog I/239:
#         https://cdsarc.cds.unistra.fr/ftp/cats/I/239/hip_main.dat
#
# Each data line is an unmodified record from hip_main.dat.
#
H|        3821| |00 49 05.10|+57 48 59.6| 3.46|1|H|012.27125262|+57.81654770|A| 167.99| 1087.11| -559.65|  0.44|  0.44|  0.62|  0.44|  0.44|-0.42| 0.04| 0.18|-0.16| 0.19|-0.06| 0.20| 0.02| 0.18|-0.54|  4| 1.86|  3821| 4.158|0.003| 3.520|0.003|A| 0.587|0.003|T|0.66|0.00|L| | 3.5835|0.0024|0.009|229|A| 3.58| 3.63|       |U|2| |00491+5749|I| 2| 2|C| |A|AB|313| 12.490|0.023| 3.78|0.08|S| | |  4614|B+57  150 |          |          |0.65|G0V SB      |G 
H|        4422| |00 56 40.01|+59 10 52.2| 4.62| |H|014.16671042|+59.18116582| |  15.84|  -92.56|  -45.33|  0.35|  0.38|  0.58|  0.42|  0.42|-0.35| 0.21| 0.08| 0.09| 0.09| 0.01| 0.08|-0.03| 0.06|-0.40|  1|-0.72|  4422| 5.843|0.002| 4.732|0.002| | 0.957|0.001|G|1.01|0.04|G| | 4.7838|0.0004|0.005|225| | 4.78| 4.79|       | | | |          | |  | 1| | | |  |   |       |     |     |    |S| | |  5395|B+58  138 |          |          |1.01|G8III-IV    |X 
H|        5054| |01 04 40.28|-39 29 13.0| 7.72| |H|016.16782838|-39.48693482| |  24.80| -168.97| -527.71|  0.61|  0.60|  0.89|  0.85|  0.54|-0.07| 0.01|-0.19|-0.43| 0.26|-0.04| 0.16| 0.10|-0.15|-0.01|  0|-2.51|  5054| 8.450|0.010| 7.789|0.008| | 0.613|0.011|T|0.68|0.01|L| | 7.8495|0.0015|0.013|137| | 7.83| 7.88|       | | | |          | |  | 1| | | |  |   |       |     |     |    |S| | |  6434|          |C-40   239|P-40    98|0.64|G3IV        |X 
H|        5348|H|01 08 23.06|-55 14 45.0| 3.94|2|G|017.09608370|-55.24583235|A|  11.66|   21.17|   29.70|  0.64|  0.68|  0.77|  0.56|  0.66|-0.08| 0.02|-0.11| 0.00| 0.02| 0.18| 0.05| 0.14| 0.01|-0.05| 14| 3.34|  5348| 3.854|0.004| 3.958|0.004|-|-0.120|0.220|G|-.08|0.02|A|*| 3.9219|0.0013|0.055|139|-| 3.91| 4.18|   1.67|P|1|A|01084-5515|I| 1| 3|C| |C|  |   |       |     |     |    |S| |G|  6882|          |C-55   267|P-55   241|-.08|B6V + B0V   |G 
H|        5447| |01 09 43.80|+35 37 15.0| 2.07|1|H|017.43248991|+35.62083048| |  16.36|  175.59| -112.23|  0.71|  0.61|  0.76|  0.84|  0.68| 0.00| 0.23|-0.22| 0.45|-0.07| 0.06|-0.07| 0.54|-0.08| 0.20|  0| 0.67|  5447| 4.167|0.006| 2.264|0.004| | 1.576|0.010|G|1.74|0.03|C| | 2.1741|0.0030|0.016| 50| | 2.15| 2.20|       |U|2| |01097+3537|I| 1| 1| | | |  |   |       |     |     |    |S| | |  6860|B+34  198 |          |          |1.74|M0IIIvar    |X 
H|        5529| |01 10 47.06|-66 11 16.3| 8.06| |H|017.69608830|-66.18786313| |  27.87|  111.79| -123.84|  0.53|  0.61|  0.69|  0.60|  0.61| 0.01| 0.10|-0.20| 0.04| 0.04| 0.01| 0.04| 0.04| 0.03| 0.11|  0|-1.08|  5529| 9.107|0.012| 8.124|0.009| | 0.849|0.012|T|0.86|0.01|L| | 8.1991|0.0015|0.015|140| | 8.17| 8.23|       |C| | |          | |  | 1| | | |  |   |       |     |     |    |S| | |  7199|          |          |P-66    88|0.86|K0IV/V      |1 
H|        5737| |01 13 43.80|+07 34 31.8| 5.21| |H|018.43250986|+07.57548895|A|  22.09|  141.66|  -55.62|  2.47|  1.98|  2.04|  2.31|  1.83| 0.27| 0.09|-0.19|-0.34| 0.02| 0.09| 0.04|-0.19| 0.20| 0.33|  1| 0.69|  5737| 5.530|0.005| 5.231|0.005|A| 0.320|0.000|G|0.37|0.00|H| | 5.2849|0.0527|0.080| 60|A| 5.11| 5.33|       |D| | |01137+0735|I| 2| 1|C|P|D|  |   |       |     |     |    |S| |D|  7344|B+06  174 |          |          |0.37|A7IV        |X 
H|        6411| |01 22 20.39|+45 31 43.5| 4.87| |H|020.58497087|+45.52875660| |  16.68|   32.21|    8.73|  0.53|  0.45|  0.70|  0.59|  0.48| 0.09| 0.36|-0.08| 0.04| 0.07|-0.10| 0.13| 0.18| 0.20| 0.01|  0| 0.64|  6411| 6.258|0.004| 4.989|0.003| | 1.077|0.000|G|1.04|0.03|C| | 5.0399|0.0005|0.004| 76| | 5.03| 5.05|       |C| | |          | |  | 1| | | |  |   |       |     |     |    |S| | |  8207|B+44  287 |          |          |1.04|K0III-IV    |X 
H|        6643| |01 25 12.35|+28 34 01.5| 7.12| |H|021.30145418|+28.56707875| |  22.65|  252.59| -158.59|  0.76|  0.55|  0.82|  0.94|  0.54| 0.03| 0.24|-0.06| 0.20|-0.14| 0.19|-0.07| 0.44| 0.02|-0.03|  0|-1.20|  6643| 7.797|0.009| 7.177|0.008| | 0.577|0.011|T|0.65|0.01|L| | 7.2497|0.0010|0.007| 68| | 7.23| 7.27|       |C| | |          | |  | 1| | | |  |   |       |     |     |    |S| | |  8574|B+27  225 |          |          |0.64|F8          |S 
H|        6686| |01 25 48.60|+60 14 07.5| 2.66| |H|021.45251267|+60.23540347| |  32.81|  297.24|  -49.49|  0.37|  0.38|  0.62|  0.48|  0.41|-0.19| 0.19|-0.06|-0.06|-0.24|-0.18|-0.16|-0.18| 0.23|-0.33|  1|-1.32|  6686| 2.869|0.002| 2.694|0.001| | 0.160|0.002|T|0.19|0.03|C| | 2.7146|0.0004|0.005|196| | 2.71| 2.72|       | | | |01259+6014|I| 1| 1| | | |  |   |       |     |     |    |S| |P|  8538|B+59  248 |          |          |0.19|A5Vv SB     |G 
H|        7097|H|01 31 28.99|+15 20 45.0| 3.62| |G|022.87080776|+15.34583101|A|  11.09|   25.73|   -3.29|  0.77|  0.55|  0.82|  0.77|  0.50| 0.45| 0.18| 0.13|-0.13| 0.14| 0.11| 0.13|-0.09| 0.17| 0.55|  4|-0.95|  7097| 4.866|0.003| 3.735|0.002|*| 0.974|0.001|G|0.94|0.01|G|*| 3.7914|0.0004|0.003|104|*| 3.78| 3.80|       |D| | |01315+1521|I| 1| 2|C| |A|AB| 47|  0.644|0.031| 3.68|0.07|S| | |  9270|B+14  231 |          |          |0.94|G8III       |X 
H|        7513| |01 36 47.98|+41 24 23.0| 4.10| |H|024.19990413|+41.40638491| |  74.25| -172.57| -381.01|  0.56|  0.45|  0.72|  0.52|  0.45| 0.14| 0.39| 0.02| 0.04| 0.11|-0.03| 0.17| 0.21| 0.14|-0.01|  0| 0.08|  7513| 4.748|0.004| 4.159|0.003| | 0.536|0.007|G|0.58|0.03|C| | 4.2118|0.0006|0.004| 89| | 4.20| 4.22|       | | | |01367+4125|I| 1| 1| | | |  |   |       |     |     |    |S| | |  9826|B+40  332 |          |          |0.58|F8V         |X 
H|        7588| |01 37 42.75|-57 14 12.0| 0.45|2|G|024.42813204|-57.23666007| |  22.68|   88.02|  -40.08|  0.48|  0.47|  0.57|  0.62|  0.54|-0.12|-0.10|-0.14|-0.20| 0.16|-0.01| 0.22|-0.05|-0.20|-0.20|  1|-0.37|  7588| 0.458|0.010| 0.522|0.009| |-0.158|0.007|G|-.17|0.02|A| | 0.4233|0.0024|0.022|106| | 0.40| 0.46|       |U|2| |          | |  | 1|G| | |  |   |       |     |     |    |S| |P| 10144|          |          |P-57   334|-.17|B3Vp        |X 
H|        7607| |01 37 59.50|+48 37 42.6| 3.59| |H|024.49792651|+48.62848641| |  18.76|   60.90| -112.42|  0.54|  0.51|  0.74|  0.58|  0.71| 0.06| 0.43|-0.11| 0.11| 0.00|-0.09| 0.10|-0.15| 0.25| 0.12|  0|-0.99|  7607| 5.257|0.003| 3.732|0.002| | 1.275|0.004|G|1.23|0.02|G| | 3.7515|0.0004|0.004| 85| | 3.75| 3.76|       | | | |          | |  | 1| | | |  |   |       |     |     |    |S| | |  9927|B+47  467 |          |          |1.23|K3III       |X 
H|        8198| |01 45 23.59|+09 09 27.5| 4.26| |H|026.34828629|+09.15764102| |  12.63|   70.82|   38.99|  0.80|  0.47|  0.86|  1.00|  0.43| 0.37|-0.17|-0.01|-0.18| 0.16| 0.10| 0.10| 0.43|-0.12| 0.46|  0| 1.06|  8198| 5.484|0.003| 4.372|0.002| | 0.942|0.048|G|0.93|0.02|A| | 4.4268|0.0005|0.004|101| | 4.42| 4.43|       |C| | |          | |  | 1| | | |  |   |       |     |     |    |S| | | 10761|B+08  273 |          |          |0.93|K0III       |X 
H|        8645| |01 51 27.61|-10 20 05.8| 3.74| |H|027.86504416|-10.33494526| |  12.59|   38.78|  -38.04|  0.68|  0.62|  0.85|  0.79|  0.74| 0.42|-0.10|-0.28| 0.30| 0.07|-0.10| 0.02| 0.25|-0.17| 0.51|  0| 1.91|  8645| 5.193|0.003| 3.858|0.002| | 1.136|0.007|G|1.07|0.02|A| | 3.9067|0.0007|0.004| 86| | 3.90| 3.92|       |C| | |01515-1019|I| 1| 1|G| | |  |   |       |     |     |    |S| | | 11353|B-11  359 |          |          |1.07|K2III       |X 
H|        8796| |01 53 04.90|+29 34 45.8| 3.42|1|G|028.27041595|+29.57939727| |  50.87|   12.02| -233.69|  0.72|  0.45|  0.82|  0.67|  0.51| 0.22| 0.48| 0.02| 0.15| 0.09| 0.00| 0.20| 0.01| 0.27| 0.18|  0| 0.18|  8796| 4.002|0.002| 3.476|0.002| | 0.488|0.009|G|0.55|0.03|C| | 3.5210|0.0007|0.006| 89| | 3.51| 3.53|   0.87|P|1|A|01531+2935|I| 1| 1| | | |  |   |       |     |     |    |S| | | 11443|B+28  312 |          |          |0.55|F6IV        |X 
H|        8832|H|01 53 31.77|+19 17 38.7| 3.88| |G|028.38235506|+19.29409264|A|  15.96|   79.43|  -99.10|  1.04|  0.71|  0.85|  1.06|  0.65| 0.24| 0.09|-0.14|-0.20| 0.08|-0.15|-0.03|-0.60| 0.15| 0.08| 11| 0.81|  8832| 4.608|0.002| 4.632|0.003|B|-0.047|0.005|G|-.03|0.01|R|*| 3.8584|0.0006|0.006| 92|*| 3.85| 3.87|       |D| | |01536+1918|I| 1| 2|C| |A|AB|  1|  7.606|0.002| 0.05|0.01|S| | | 11502|B+18  243 |          |          |-.03|A1p Si      |G 
H|        8886| |01 54 23.68|+63 40 12.5| 3.35|1|H|028.59868107|+63.67014686| |   7.38|   31.98|  -18.66|  0.32|  0.42|  0.57|  0.37|  0.49|-0.44| 0.15|-0.12| 0.27|-0.20| 0.11|-0.18| 0.11| 0.10|-0.45|  0|-1.73|  8886| 3.183|0.002| 3.329|0.002| |-0.150|0.007|G|-.12|0.03|C| | 3.3107|0.0003|0.005|223| | 3.30| 3.32|       |M| | |          | |  | 1| | | |  |   |       |     |     |    |S| | | 11415|B+62  320 |          |          |-.12|B2pvar      |X 
H|        8903| |01 54 38.35|+20 48 29.9| 2.64| |G|028.65978771|+20.80829949|+|  54.74|   96.32| -108.80|  1.64|  0.47|  0.75|  1.00|  0.54| 0.09|-0.12| 0.03| 0.08| 0.21| 0.10|-0.07|-0.30| 0.14| 0.02|  0| 0.81|  8903| 2.861|0.002| 2.681|0.002| | 0.165|0.003|T|0.18|0.00|L| | 2.7044|0.0005|0.004|105| | 2.70| 2.71|       | | | |          | |  | 1|O| | |  |   |       |     |     |    |S| |P| 11636|B+20  306 |          |          |0.16|A5V...      |X 
H|        9487|H|02 02 02.80|+02 45 49.5| 3.82|1|G|030.51166929|+02.76376048|A|  23.45|   33.29|   -0.42|  1.03|  0.88|  1.06|  1.34|  0.99| 0.33|-0.11|-0.13|-0.41|-0.04| 0.31|-0.08|-0.49| 0.33| 0.53|  8| 1.43|  9487| 3.729|0.011| 3.673|0.011|*| 0.024|0.023|G|0.05|0.02|A|*| 3.8281|0.0009|0.007| 71|*| 3.82| 3.84|   0.75|P|1|A|02020+0246|I| 1| 2|C| |A|AB|279|  1.876|0.003| 1.11|0.01|S| |P| 12446|B+02  317 |          |          |0.05|A2          |S 
H|        9640|H|02 03 53.92|+42 19 47.5| 2.10| |H|030.97466283|+42.32984832|A|   9.19|   43.08|  -50.85|  0.70|  0.56|  0.73|  0.66|  0.58| 0.07| 0.24|-0.06|-0.23| 0.02| 0.11| 0.06|-0.28| 0.05| 0.26|  9| 2.21|  9640| 4.006|0.006| 2.330|0.004|A| 1.370|0.400|G|1.37|0.01|L|*| 2.2409|0.0018|0.012| 81|*| 2.23| 2.27|       |D| | |02039+4220|I| 1| 2|C| |A|AB| 63|  9.576|0.011| 2.69|0.05|S| |W| 12533|B+41  395 |          |          |1.37|B8V         |X 
H|        9884| |02 07 10.29|+23 27 46.0| 2.01| |G|031.79285757|+23.46277743| |  49.48|  190.73| -145.77|  0.77|  0.58|  0.99|  1.01|  0.77| 0.20| 0.26|-0.25|-0.01| 0.00| 0.02| 0.10|-0.35| 0.29| 0.33|  0| 0.85|  9884| 3.524|0.003| 2.152|0.004| | 1.151|0.006|G|1.13|0.00|G| | 2.1726|0.0007|0.004| 58| | 2.17| 2.19|       | | | |          | |  | 1| | | |  |   |       |     |     |    |S| | | 12929|B+22  306 |          |          |1.13|K2III       |X 
H|       10826| |02 19 20.79|-02 58 37.4| 6.47|3|H|034.83661103|-02.97706055| |   7.79|   10.33| -239.48|  0.85|  0.70|  1.07|  1.08|  0.89| 0.35|-0.31|-0.32|-0.32|-0.09| 0.38|-0.04|-0.43| 0.32| 0.52|  0| 1.80| 10826| 7.758|0.258| 6.642|0.256| | 0.966|0.299|T|5.71|0.39|O| | 4.9898|0.2820|1.303| 82| | 3.39| 7.03| 333.80|P|1|B|02194-0258|I| 1| 1| | |S|  |   |       |     |     |    |S| |P| 14386|B-03  353 |          |          |4.61|M5e-M9e     |G 
